device,sample,times,process,task,step_length,stride_length,left_step_length,right_step_length,left_stride_length,right_stride_length,stride_speed,stride_time,step_width
MOCAP,sample18,time02,go,task_web,0.497229209875,0.9935795811428573,0.4716064527500001,0.522851967,0.9944584197500002,0.9924077963333335,1.8820544935304933,0.5285714285714286,0.21415529282532736
MOCAP,sample19,time02,go,task_web,0.5112063804444444,1.017808655375,0.5112996491999999,0.5110897945,1.019058228,1.01655908275,1.9493152243666063,0.5225000000000002,0.18398662068161442
MOCAP,sample20,time02,go,task_web,0.5877616708571428,1.1741160381666667,0.5943613432499999,0.5789621076666666,1.1792204286666665,1.1690116476666665,2.3338206404197783,0.5033333333333333,0.19910712227298857
MOCAP,sample21,time02,go,task_web,0.4847519172222224,0.9714312242500001,0.4904290197500001,0.48021023520000006,0.9767139085000002,0.9661485400000002,1.8933095819327068,0.51375,0.20739022810438415
MOCAP,sample22,time02,go,task_web,0.4311763427777778,0.8561252563749998,0.4544644944,0.40206615324999995,0.85614323125,0.8561072814999999,1.4576923481627595,0.5875,0.2676415993161764
MOCAP,sample23,time02,go,task_web,0.5239374442222222,1.06331621975,0.5036692628000001,0.5492726709999999,1.0547602504999998,1.071872189,1.841988271048479,0.5775,0.21959515153497927
MOCAP,sample01,time02,turn,task_cup,0.3665178220000005,0.733035644000001,0.3665178220000005,0.0,0.0,0.0,0.5817743206349207,1.2600000000000016,0.15743332131496057
MOCAP,sample02,time02,turn,task_cup,0.2485603030000001,0.4971206060000002,0.2485603030000001,0.0,0.0,0.0,0.25234548527918804,1.9699999999999989,0.21437390406565662
MOCAP,sample03,time02,turn,task_cup,0.2951649780000001,0.5903299560000002,0.3855109870000002,0.20481896899999996,0.0,0.5903299560000002,0.3883749710526318,1.5199999999999996,0.14380836891289828
MOCAP,sample04,time02,turn,task_cup,0.34548559600000006,0.6909711920000001,0.34548559600000006,0.0,0.0,0.0,0.45161515816993436,1.5300000000000011,0.13364899516233775
MOCAP,sample05,time02,turn,task_cup,0.4152518310000002,0.8305036620000004,0.4152518310000002,0.0,0.0,0.0,0.4828509662790698,1.7200000000000006,0.0880453200867052
MOCAP,sample06,time02,turn,task_cup,0.351309082,0.702618164,0.351309082,0.0,0.0,0.0,0.247400761971831,2.84,0.19674885806842102
MOCAP,sample07,time02,turn,task_cup,0.20900134250000002,0.41800268500000004,0.3983909910000001,0.019611693999999957,0.41800268500000004,0.0,0.3699138805309738,1.129999999999999,0.15474995680745332
MOCAP,sample08,time02,turn,task_cup,0.3723835449999997,0.7447670899999994,0.3723835449999997,0.0,0.0,0.0,0.44069058579881637,1.6899999999999995,0.19804173961176472
MOCAP,sample09,time02,turn,task_cup,0.2274891965000001,0.4549783930000002,0.38295056100000013,0.07202783200000007,0.4549783930000002,0.0,0.36990113252032525,1.2300000000000004,0.1955988527458564
MOCAP,sample10,time02,turn,task_cup,0.3961170650000003,0.7922341300000006,0.3961170650000003,0.0,0.0,0.0,0.5246583642384111,1.5099999999999998,0.09403371575657897
MOCAP,sample11,time02,turn,task_cup,0.41546044900000023,0.8309208980000005,0.41546044900000023,0.0,0.0,0.0,0.4775407459770122,1.7399999999999984,0.1341898832114286
MOCAP,sample12,time02,turn,task_cup,0.35201416100000005,0.7040283220000001,0.35201416100000005,0.0,0.0,0.0,0.33847515480769236,2.08,0.07974806587081339
MOCAP,sample13,time02,turn,task_cup,0.3967957770000001,0.7935915540000003,0.3967957770000001,0.0,0.0,0.0,0.49911418490566056,1.5899999999999999,0.07999897381875004
MOCAP,sample14,time02,turn,task_cup,0.34000421199999986,0.6800084239999997,0.37841967799999976,0.30158874599999996,0.0,0.6800084239999997,0.5354397039370078,1.2699999999999996,0.21012990522162153
MOCAP,sample15,time02,turn,task_cup,0.34112259966666664,0.5833349615,0.4400328374999999,0.1433021240000001,0.564988526,0.6016813969999999,0.8656947269065417,0.7850000000000006,0.18198598149999992
MOCAP,sample16,time02,turn,task_cup,0.28068420399999994,0.5613684079999999,0.400093872,0.16127453599999986,0.5613684079999999,0.0,0.4881464417391302,1.1500000000000004,0.18719303573456786
MOCAP,sample17,time02,turn,task_cup,0.43830456500000015,0.8766091300000003,0.43830456500000015,0.0,0.0,0.0,0.659104609022557,1.3299999999999992,0.14787733220895527
MOCAP,sample18,time02,turn,task_cup,0.36637616000000006,0.7327523200000001,0.42995410199999995,0.3027982180000002,0.7327523200000001,0.0,0.5233945142857143,1.4000000000000004,0.15798421719313308
MOCAP,sample19,time02,turn,task_cup,0.29922174049999994,0.5984434809999999,0.382864624,0.2155788569999999,0.0,0.5984434809999999,0.5490307165137615,1.0899999999999999,0.19612995415384613
MOCAP,sample20,time02,turn,task_cup,0.45826232899999997,0.9165246579999999,0.44450854500000014,0.4720161129999998,0.0,0.9165246579999999,1.6664084690909176,0.5499999999999972,0.13011346658235295
MOCAP,sample21,time02,turn,task_cup,0.4082578130000001,0.8165156260000002,0.4082578130000001,0.0,0.0,0.0,0.3888169647619049,2.0999999999999996,0.07373366030805688
MOCAP,sample22,time02,turn,task_cup,0.2271147284285714,0.4542294568571428,0.3471962538571427,0.10703320300000008,0.4542294568571428,0.0,0.3315543480709069,1.370000000000001,0.19753086858962263
MOCAP,sample23,time02,turn,task_cup,0.2845571290000001,0.5691142580000002,0.46268603499999994,0.10642822300000021,0.5691142580000002,0.0,0.41846636617647087,1.3599999999999994,0.19503228352941174
MOCAP,sample01,time02,turn,task_normal,0.42107250949999986,0.8421450189999997,0.295417724,0.5467272949999997,0.0,0.8421450189999997,0.7944764330188673,1.0600000000000005,0.1654326042065217
MOCAP,sample02,time02,turn,task_normal,0.45771106000000006,0.9154221200000001,0.45771106000000006,0.0,0.0,0.0,0.6731045000000003,1.3599999999999994,0.23276120953284665
MOCAP,sample03,time02,turn,task_normal,0.2853266604999999,0.5706533209999998,0.3976831059999999,0.17297021499999987,0.5706533209999998,0.0,0.46774862377049137,1.2200000000000006,0.17355741857954546
MOCAP,sample04,time02,turn,task_normal,0.13952319300000005,0.2790463860000001,0.22349707000000008,0.055549316000000015,0.0,0.2790463860000001,0.6489450837209308,0.4299999999999997,0.19537824738793108
MOCAP,sample05,time02,turn,task_normal,0.23804101600000005,0.4760820320000001,0.28333337400000014,0.19274865799999996,0.4760820320000001,0.0,0.9715959836734727,0.48999999999999844,0.20120670160843368
